"average_ms","month","year","paddock","animals_amount","gender","total_rainfall","average_atmospheric_pressure","dew_point_temperature","average_temperature","relative_humidity","average_mv","NIRM","REDM","RED_EDGEM","SWIR1M","GREENM","BLUEM","NDVIM","NDWIM","EVIM","LAIM","GEMIM","SAVIM","DVIM","GCIM","GDVIM","GLIM","GNDVIM","GOSAVIM","GRIM","GSAVIM","IPVIM","MNLIM","MSAVI2M","MSRM","NLIM","OSAVIM","RDVIM","SRM","TDVIM","VARIM","WDRVIM"
3190.71,10,2017,4,4,1,0,948.764,17.17675,26.956,56.8955,7116.67,2245.1724137931,1328.58620689655,2563.37068965517,2269.70689655172,1279.03448275862,1325,0.261402805671079,0.0615476571961504,0.149995739170514,0.424684584318919,-923455.934264828,0.392047892284909,916.586206896552,0.814918659426591,966.137931034483,-0.0175897058847136,966.137931034483,0.278504605764169,1.81491865942659,0.417715651885119,0.63070140283554,1.49919442944524,0.405630812013254,0.316779221332474,0.999463054651895,0.261390790363051,15.4635149041988,1.75101018743729,0.608446199793401,-0.036187605641504,-0.703438183046206
2672.44,11,2017,4,4,1,0,949,13.3375,27.22,43.041,6800,2847.15517241379,873.362068965517,3278.75862068966,2197.10344827586,987.362068965517,966.51724137931,0.529327821466836,0.196987014268432,0.330100036717212,1.07630193284287,-3939334.49313297,0.793885155424434,1973.79310344828,1.88440668059342,1859.79310344828,0.0355445682915366,1859.79310344828,0.484090163609208,2.88440668059342,0.726070863346783,0.764663910733418,1.49967184789484,0.691342130858786,0.808615635282443,0.999781294175818,0.529305083010199,32.3182288768025,3.28226681664802,1.03701317257684,0.130291807884075,-0.507056197090958
3146.15,12,2017,4,4,1,3.8,9.509,19.8995,26.512,68.8955,8833.33,3260.20689655172,694.051724137931,3849,2008.27586206897,982.629310344828,934.456896551724,0.648063208137961,0.314066965588606,0.429764203420616,1.43688688797579,-6630207.49435027,0.971971964371849,2566.15517241379,2.32671932456376,2277.5775862069,0.094092579683377,2277.5775862069,0.536343994169193,3.32671932456377,0.804451468581116,0.82403160406898,1.49980106633165,0.785746974821073,1.1756814316488,0.999867424952657,0.648036998345362,40.775464006177,4.75640724499348,1.17862043974073,0.393087974691807,-0.358066573999478
3003.85,1,2018,4,4,1,0.6,950.952,18.987,25.6205,68.9995,7783.33,3512.23275862069,1745.46551724138,4072.13793103448,2987.93103448276,1815.22413793103,1780.0775862069,0.393289699071026,0.177063746293163,0.263118764908368,0.833963691438474,-3191809.90185758,0.589862210915005,1766.76724137931,1.21094687734821,1697.00862068966,0.0318102198392644,1697.00862068966,0.354612059246143,2.21094687734821,0.531876921874509,0.696644849535513,1.49962188154271,0.541755518498882,0.577055794337885,0.999747968246004,0.393274265655705,25.995464210376,2.59575226210488,0.81263326194509,0.125584527067149,-0.5988043119333
3900.56,2,2018,4,4,1,0.466666666666667,950.194333333333,16.4733333333333,24.9191666666667,63.1663333333333,10391.67,2829.79885057471,735.66091954023,3246.81034482759,2075.39655172414,920.706896551724,886.379310344828,0.586779240539257,0.219681719798054,0.358653615951286,1.17960878251175,-4405850.77318306,0.880045480044069,2094.13793103448,2.07713512092639,1909.09195402299,0.0635088615105136,1909.09195402299,0.508634431871099,3.07713512092639,0.762882465877574,0.793389620269629,1.49972196891825,0.739104169254071,0.964143631921356,0.9998147086913,0.586752916798481,35.0511250199682,3.86621043396787,1.10865622706409,0.242139986626327,-0.44333071032799
3483.84,3,2018,4,4,1,0,950.663333333333,20.8248333333333,25.9345,74.4996666666667,9683.33,2715.19540229885,1018.77586206897,3192.06321839081,2136.06896551724,1158.37356321839,1175.39655172414,0.467233239196596,0.198282079660884,0.284389099309826,0.910919761302951,-3065405.12473162,0.70075272036396,1696.41954022989,1.53330490855029,1556.82183908046,0.0348742066338784,1556.82183908046,0.411127884178994,2.53330490855029,0.616636166963037,0.733616619598298,1.49957873116338,0.622026802354859,0.711727623093135,0.999719222265941,0.467212514366089,28.1296093557687,3.01559895166105,0.933040180759094,0.166862682045057,-0.545250579678672
2793.28,10,2018,4,4,2,3.57600337980566,793.1968788903,16.0860876874496,23.5083348119983,62.3116666666667,7550,3850.68965517241,2269.39655172414,4318.11494252874,2987.18390804598,2374.99425287356,2394.17816091954,0.399999927660102,0.17937626833634,0.260107223026285,0.823067932909101,-3780850.42992853,0.599921324242284,1581.29310344828,1.39378977542379,1475.69540229885,0.051166183584441,1475.69540229885,0.342145170342283,2.39378977542379,0.513174932132228,0.699999963830051,1.49962744643497,0.502431377497594,0.712097318320621,0.99975167815605,0.399983165122509,25.003858920216,3.28375517060829,0.753647049716442,0.213785512872433,-0.542495292989069
2634.08,11,2018,4,4,2,0.466666666666667,950.131333333333,19.3178333333333,24.2095,75.9023333333333,9000,2878.9367816092,650.66091954023,3371.00574712644,1764.95977011494,1019.77586206897,942.873563218391,0.604324579703028,0.325308686438852,0.367219755410583,1.21060107507549,-6202420.62932027,0.906329159370923,2228.27586206897,1.65681716704048,1859.16091954023,0.112529598707006,1859.16091954023,0.435533699807683,2.65681716704048,0.653237670936173,0.802162289851514,1.49960849176075,0.750905766329174,1.042254559043,0.999739144760694,0.60429092956689,35.7971228510302,4.22524324235285,1.12635859036922,0.710805026827383,-0.412371588706129
4255.18,12,2018,4,4,2,0,952.73175,17.5935,27.2945,57.43725,7600,2639.11206896552,1038.20689655172,3107.44827586207,2181.40517241379,1165.26724137931,1090,0.424688113871652,0.173727279175839,0.260688088201133,0.825169503111699,-2799763.20476786,0.636943831901087,1600.90517241379,1.24010082824188,1473.84482758621,0.0439523546618042,1473.84482758621,0.37621423638764,2.24010082824188,0.564270319554181,0.712344056935826,1.49947989636094,0.592965821741557,0.583478113571241,0.999653355214646,0.424669266356142,25.9508566481355,2.52431393042474,0.889448707593374,0.119017260448417,-0.598632352033611
2495.62,1,2019,4,4,2,0.35,953.3245,19.737,26.359125,68.1975,4620,2468.71120689655,1012.20689655172,2947.33620689655,2454.33189655172,1059.375,1041.03017241379,0.420212812925939,0.0914829628961579,0.244792145078626,0.767657980894468,-2151689.71947037,0.63022786077829,1456.50431034483,1.35807832731831,1409.33620689655,0.0159422596042413,1409.33620689655,0.40112556543889,2.35807832731831,0.601629813205468,0.710106406462969,1.49949844603923,0.589549575494528,0.571722449102134,0.999665713819512,0.42019332115882,24.724096031415,2.48171562671608,0.884324338370662,0.0493288717079262,-0.603513694723676
